Module,Component,Quantity,Price (INR),Link,Price (USD)
Keyboard,Raspberry Pi Pico,1,1060,https://amzn.in/d/02R50tLO,$11.08
Keyboard,1N4148 DO-35 switching diode,61,294,https://robu.in/product/1n4148-onsemi-100v-1v10ma-4ns-200ma-do-35-switching-diodes-rohs/,$3.07
Keyboard,Womier Retro Ruby Pink Cherry Doubleshot PBT Keycaps,1,1899,https://curiositycaps.in/products/womier-retro-ruby-pink-cherry-doubleshot-pbt-keycaps,$19.84
Keyboard,Blue mechanical switches,90,2187,https://amzn.in/d/03xjlYV7,$22.85
Keyboard,Keyboard stabilizers,1,1716,https://amzn.in/d/0fbE7VLn,$17.93
Keyboard,2.00mm pitch female Berg strip,1,25,https://robu.in/product/2mm-pitch-female-berg-strip-40x1-2pcs/,$0.26
Keyboard,Keyboard PCB,1,900,robu.in,$9.40
Rotary Encoder,Rotary encoder module,1,92,https://robu.in/product/m274-360-degree-rotary-encoder-module-brick-sensor/,$0.96
Rotary Encoder,Perfboard,1,75,https://amzn.in/d/09jRTxoF,$0.78
Rotary Encoder,360-degree rotary encoder module,1,92,https://robu.in/product/m274-360-degree-rotary-encoder-module-brick-sensor/,$0.96
LED Matrix,100nF / 0.1uF 0603 SMD ceramic capacitor,1,4.4,https://robu.in/product/0603b104k101nt-fh-100v-100nf-x7r%c2%b110-0603-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/,$0.05
LED Matrix,10uF 0603 SMD ceramic capacitor,1,39,https://robu.in/product/zrb18ar61e106me01l-murata-smd-multilayer-ceramic-capacitor-10-%c2%b5f-25-v-0603-1608-metric-%c2%b1-20-x5r-zrb/,$0.41
LED Matrix,0603 SMD red LED,64,133,https://robu.in/product/19-217-r6c-al1m2vy-3t-everlight-red-528nm-led-indication-discrete-3-3v-0603-1608-metric/,$1.39
LED Matrix,10k 0603 SMD resistor,1,4.8,https://robu.in/product/yageo-10k-ohm-1-4w-0603-surface-mount-chip-resistor-pack-of-50/,$0.05
LED Matrix,MAX7219 SMD IC,1,128,https://robu.in/product/max7219-ic-smd-package-8-digit-led-display-driver-ic/,$1.34
LED Matrix,PCB,1,900,https://robu.in/,$9.40
Tamagotchi,GC9A01 1.28-inch 240x240 round display,1,519,https://robu.in/product/goldenmorning-gc9a01-7p-240x240-spi-1-28-inch-round-display-module/,$5.42
Tamagotchi,6x6mm through-hole tactile switch,1,7,https://robu.in/product/tsd001a06026a-bzcn-6mm-6mm-50ma-round-button-direct-insert-6mm-12v-plugin-tactile-switches-rohs/,$0.07
Tamagotchi,PCB,1,900,https://robu.in/,$9.40
,,,,,
,,,,,
,,,,total amount is 115 dollars,
